2025-11-09 17:14:49 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 17:14:49 | INFO     | src.agents.watcher_agent:_load_processed_uids:35 | No se encontró archivo de UIDs procesados, comenzando desde cero
2025-11-09 17:14:49 | INFO     | src.agents.watcher_agent:run:356 | Watcher Agent iniciado
2025-11-09 17:51:04 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 17:51:04 | INFO     | src.agents.watcher_agent:_load_processed_uids:35 | No se encontró archivo de UIDs procesados, comenzando desde cero
2025-11-09 17:51:04 | INFO     | src.agents.watcher_agent:run:356 | Watcher Agent iniciado
2025-11-09 17:53:32 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 17:53:32 | INFO     | src.agents.watcher_agent:_load_processed_uids:35 | No se encontró archivo de UIDs procesados, comenzando desde cero
2025-11-09 17:53:32 | INFO     | src.agents.watcher_agent:run:356 | Watcher Agent iniciado
2025-11-09 18:01:04 | WARNING  | src.config:<module>:14 | ⚠️ No se encontró el archivo .env en la raíz del proyecto.
2025-11-09 18:04:20 | INFO     | src.config:<module>:12 | Archivo .env cargado correctamente desde: /home/genghis/Documents/Uneg/agente-inteligente-expedientes/.env
2025-11-09 18:08:11 | INFO     | src.config:<module>:13 | Archivo .env cargado correctamente desde: /home/genghis/Documents/Uneg/agente-inteligente-expedientes/.env
2025-11-09 18:08:11 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 18:08:11 | INFO     | src.agents.watcher_agent:_load_processed_uids:35 | No se encontró archivo de UIDs procesados, comenzando desde cero
2025-11-09 18:08:11 | INFO     | src.agents.watcher_agent:run:356 | Watcher Agent iniciado
2025-11-09 18:08:12 | INFO     | src.agents.watcher_agent:_connect_imap:58 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:11:53 | INFO     | src.agents.watcher_agent:run:385 | Watcher Agent detenido por el usuario
2025-11-09 18:11:53 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:77 | Desconectado de IMAP
2025-11-09 18:12:28 | INFO     | src.config:<module>:13 | Archivo .env cargado correctamente desde: /home/genghis/Documents/Uneg/agente-inteligente-expedientes/.env
2025-11-09 18:12:28 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 18:12:28 | INFO     | src.agents.watcher_agent:_load_processed_uids:35 | No se encontró archivo de UIDs procesados, comenzando desde cero
2025-11-09 18:12:28 | INFO     | src.agents.watcher_agent:run:356 | Watcher Agent iniciado
2025-11-09 18:12:29 | INFO     | src.agents.watcher_agent:_connect_imap:58 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:15:50 | INFO     | src.agents.watcher_agent:run:385 | Watcher Agent detenido por el usuario
2025-11-09 18:15:51 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:77 | Desconectado de IMAP
2025-11-09 18:18:09 | INFO     | src.config:<module>:13 | Archivo .env cargado correctamente desde: /home/genghis/Documents/Uneg/agente-inteligente-expedientes/.env
2025-11-09 18:18:09 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 18:18:09 | INFO     | src.agents.watcher_agent:_load_processed_uids:35 | No se encontró archivo de UIDs procesados, comenzando desde cero
2025-11-09 18:18:09 | INFO     | src.agents.watcher_agent:run:356 | Watcher Agent iniciado
2025-11-09 18:18:11 | INFO     | src.agents.watcher_agent:_connect_imap:58 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:19:11 | INFO     | src.agents.watcher_agent:run:385 | Watcher Agent detenido por el usuario
2025-11-09 18:19:11 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:77 | Desconectado de IMAP
2025-11-09 18:26:35 | INFO     | src.config:<module>:13 | Archivo .env cargado correctamente desde: /home/genghis/Documents/Uneg/agente-inteligente-expedientes/.env
2025-11-09 18:26:35 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 18:26:35 | INFO     | src.agents.watcher_agent:_load_processed_uids:35 | No se encontró archivo de UIDs procesados, comenzando desde cero
2025-11-09 18:26:35 | INFO     | src.agents.watcher_agent:run:370 | Watcher Agent iniciado
2025-11-09 18:26:37 | INFO     | src.agents.watcher_agent:_connect_imap:58 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:26:37 | INFO     | src.agents.watcher_agent:_search_emails_with_subject:154 | Total de correos encontrados con asunto 'Expediente': 1
2025-11-09 18:26:37 | INFO     | src.agents.watcher_agent:_process_email:303 | Procesando correo UID=10057...
